mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
18.0,8,307.0,130.0,3504,12.0,70,1,chevrolet chevelle malibu
15.0,8,350.0,165.0,3693,11.5,70,1,buick skylark 320
18.0,8,318.0,150.0,3436,11.0,70,1,plymouth satellite
16.0,8,304.0,150.0,3433,12.0,70,1,amc rebel sst
17.0,8,302.0,140.0,3449,10.5,70,1,ford torino
15.0,8,429.0,198.0,4341,10.0,70,1,ford galaxie 500
14.0,8,454.0,220.0,4354,9.0,70,1,chevrolet impala
14.0,8,440.0,215.0,4312,8.5,70,1,plymouth fury iii
14.0,8,455.0,225.0,4425,10.0,70,1,pontiac catalina
15.0,8,390.0,190.0,3850,8.5,70,1,amc ambassador dpl
15.0,8,383.0,170.0,3563,10.0,70,1,dodge challenger se
14.0,8,340.0,160.0,3609,8.0,70,1,plymouth 'cuda 340
15.0,8,400.0,150.0,3761,9.5,70,1,chevrolet monte carlo
14.0,8,455.0,225.0,3086,10.0,70,1,buick estate wagon (sw)
22.0,6,198.0,95.0,2833,15.5,70,1,plymouth duster
18.0,6,199.0,97.0,2774,15.5,70,1,amc hornet
21.0,6,200.0,85.0,2587,16.0,70,1,ford maverick
21.0,6,199.0,90.0,2648,15.0,70,1,amc gremlin
10.0,8,360.0,215.0,4615,14.0,70,1,ford f250
10.0,8,307.0,200.0,4376,15.0,70,1,chevy c20
11.0,8,318.0,210.0,4382,13.5,70,1,dodge d200
9.0,8,304.0,193.0,4732,18.5,70,1,hi 1200d
28.0,4,140.0,90.0,2264,15.5,71,1,chevrolet vega 2300
25.0,4,98.0,,2046,19.0,71,1,ford pinto
19.0,6,232.0,100.0,2634,13.0,71,1,amc gremlin
16.0,6,225.0,105.0,3439,15.5,71,1,plymouth satellite custom
17.0,6,250.0,100.0,3329,15.5,71,1,chevrolet chevelle malibu
19.0,6,250.0,88.0,3302,15.5,71,1,ford torino 500
18.0,6,232.0,100.0,3288,15.5,71,1,amc matador
14.0,8,350.0,165.0,4209,12.0,71,1,chevrolet impala
14.0,8,400.0,175.0,4464,11.5,71,1,pontiac catalina brougham
14.0,8,351.0,153.0,4154,13.5,71,1,ford galaxie 500
14.0,8,318.0,150.0,4096,13.0,71,1,plymouth fury iii
12.0,8,383.0,180.0,4955,11.5,71,1,dodge monaco (sw)
13.0,8,400.0,170.0,4746,12.0,71,1,ford country squire (sw)
13.0,8,400.0,175.0,5140,12.0,71,1,pontiac safari (sw)
18.0,6,258.0,110.0,2962,13.5,71,1,amc hornet sportabout (sw)
22.0,4,140.0,72.0,2408,19.0,71,1,chevrolet vega (sw)
19.0,6,250.0,100.0,3282,15.0,71,1,pontiac firebird
18.0,6,250.0,88.0,3139,14.5,71,1,ford mustang
23.0,4,122.0,86.0,2220,14.0,71,1,mercury capri 2000
26.0,4,91.0,70.0,1955,20.5,71,1,plymouth cricket
25.0,4,97.5,80.0,2126,17.0,72,1,dodge colt hardtop
20.0,4,140.0,90.0,2408,19.5,72,1,chevrolet vega
21.0,4,122.0,86.0,2226,16.5,72,1,ford pinto runabout
13.0,8,350.0,165.0,4274,12.0,72,1,chevrolet impala
14.0,8,400.0,175.0,4385,12.0,72,1,pontiac catalina
15.0,8,318.0,150.0,4135,13.5,72,1,plymouth fury iii
14.0,8,351.0,153.0,4129,13.0,72,1,ford galaxie 500
17.0,8,304.0,150.0,3672,11.5,72,1,amc ambassador sst
11.0,8,429.0,208.0,4633,11.0,72,1,mercury marquis
13.0,8,350.0,155.0,4502,13.5,72,1,buick lesabre custom
12.0,8,350.0,160.0,4456,13.5,72,1,oldsmobile delta 88 royale
13.0,8,400.0,190.0,4422,12.5,72,1,chrysler newport royal
15.0,8,304.0,150.0,3892,12.5,72,1,amc matador (sw)
13.0,8,307.0,130.0,4098,14.0,72,1,chevrolet chevelle concours (sw)
13.0,8,302.0,140.0,4294,16.0,72,1,ford gran torino (sw)
14.0,8,318.0,150.0,4077,14.0,72,1,plymouth satellite custom (sw)
22.0,4,122.0,86.0,2395,16.0,72,1,ford pinto (sw)
28.0,4,98.0,80.0,2164,15.0,72,1,dodge colt (sw)
13.0,8,350.0,175.0,4100,13.0,73,1,buick century 350
14.0,8,304.0,150.0,3672,11.5,73,1,amc matador
13.0,8,350.0,145.0,3988,13.0,73,1,chevrolet malibu
14.0,8,302.0,137.0,4042,14.5,73,1,ford gran torino
15.0,8,318.0,150.0,3777,12.5,73,1,dodge coronet custom
12.0,8,429.0,198.0,4952,11.5,73,1,mercury marquis brougham
13.0,8,400.0,150.0,4464,12.0,73,1,chevrolet caprice classic
13.0,8,351.0,158.0,4363,13.0,73,1,ford ltd
14.0,8,318.0,150.0,4237,14.5,73,1,plymouth fury gran sedan
13.0,8,440.0,215.0,4735,11.0,73,1,chrysler new yorker brougham
12.0,8,455.0,225.0,4951,11.0,73,1,buick electra 225 custom
